"Beverage ID";"Country";"Ingredient";"Labels";"Stage";"Impact Category";"Indicator";"Unit";"Value";"Monetary Value";"Beverage-type";"product-id";"Product";"Years";"Production Method";"Stage functional unit";"Data quality (country specific)";"Proxy";"Salepoint";"Deca";"Milk Type";"Price Excluding Tax";"Value Added Tax";"Smart Value Added Tax";"Smart Pricing";"Smart Pricing rounded";"Value Unit";"References"
"Swiss sugar default";"Europe";"Sugarbeet";"none";"Transport, Field to Storage";"Environment";"Freshwater eutrophication";"kg P eq";0;0;"Sugar";"Swiss sugar";"Sugar";"2021";"conventional";5.56;"country-specific";"Europe";"Rolex Centre";"False";"none";0;0;0.026;0;0;"USD2023/kg";"Road; transport, freight, lorry 16-32 metric ton, EURO6 (200); World Bank, Inflation (annual %), 2024; True Price, Monestisation factors for true pricing (2023); European Central Bank, Eurosystem, US dollar (USD), 2024"
"Swiss sugar default";"Europe";"Sugarbeet";"none";"Transport, Field to Storage";"Environment";"Human toxicity";"kg 1,4-DCB";0;0;"Sugar";"Swiss sugar";"Sugar";"2021";"conventional";5.56;"country-specific";"Europe";"Rolex Centre";"False";"none";0;0;0.026;0;0;"USD2023/kg";"Road; transport, freight, lorry 16-32 metric ton, EURO6 (200); World Bank, Inflation (annual %), 2024; No factor available; European Central Bank, Eurosystem, US dollar (USD), 2024"
"Swiss sugar default";"Europe";"Sugarbeet";"none";"Transport, Field to Storage";"Environment";"Ionising radiation";"kg U235-Eq";0;0;"Sugar";"Swiss sugar";"Sugar";"2021";"conventional";5.56;"country-specific";"Europe";"Rolex Centre";"False";"none";0;0;0.026;0;0;"USD2023/kg";"Road; transport, freight, lorry 16-32 metric ton, EURO6 (200); World Bank, Inflation (annual %), 2024; CE-Delft, Environmental Prices Handbook (2017); European Central Bank, Eurosystem, US dollar (USD), 2024"
"Swiss sugar default";"Europe";"Sugarbeet";"none";"Transport, Field to Storage";"Environment";"Marine ecotoxicity";"kg 1,4-DCB";0;0;"Sugar";"Swiss sugar";"Sugar";"2021";"conventional";5.56;"country-specific";"Europe";"Rolex Centre";"False";"none";0;0;0.026;0;0;"USD2023/kg";"Road; transport, freight, lorry 16-32 metric ton, EURO6 (200); World Bank, Inflation (annual %), 2024; True Price, Monestisation factors for true pricing (2023); European Central Bank, Eurosystem, US dollar (USD), 2024"
"Swiss sugar default";"Europe";"Sugarbeet";"none";"Transport, Field to Storage";"Environment";"Marine eutrophication";"kg N eq";0;0;"Sugar";"Swiss sugar";"Sugar";"2021";"conventional";5.56;"country-specific";"Europe";"Rolex Centre";"False";"none";0;0;0.026;0;0;"USD2023/kg";"Road; transport, freight, lorry 16-32 metric ton, EURO6 (200); World Bank, Inflation (annual %), 2024; True Price, Monestisation factors for true pricing (2023); European Central Bank, Eurosystem, US dollar (USD), 2024"
"Swiss sugar default";"Europe";"Sugarbeet";"none";"Transport, Field to Storage";"Environment";"Metal depletion";"kg Fe eq";0;0;"Sugar";"Swiss sugar";"Sugar";"2021";"conventional";5.56;"country-specific";"Europe";"Rolex Centre";"False";"none";0;0;0.026;0;0;"USD2023/kg";"Road; transport, freight, lorry 16-32 metric ton, EURO6 (200); World Bank, Inflation (annual %), 2024; No factor available; European Central Bank, Eurosystem, US dollar (USD), 2024"
"Swiss sugar default";"Europe";"Sugarbeet";"none";"Transport, Field to Storage";"Environment";"Natural land transformation";"m2";0;0;"Sugar";"Swiss sugar";"Sugar";"2021";"conventional";5.56;"country-specific";"Europe";"Rolex Centre";"False";"none";0;0;0.026;0;0;"USD2023/kg";"Road; transport, freight, lorry 16-32 metric ton, EURO6 (200); World Bank, Inflation (annual %), 2024; No factor available; European Central Bank, Eurosystem, US dollar (USD), 2024"
"Swiss sugar default";"Europe";"Sugarbeet";"none";"Transport, Field to Storage";"Environment";"Stratospheric ozone depletion";"kg CFC11 eq";0;0;"Sugar";"Swiss sugar";"Sugar";"2021";"conventional";5.56;"country-specific";"Europe";"Rolex Centre";"False";"none";0;0;0.026;0;0;"USD2023/kg";"Road; transport, freight, lorry 16-32 metric ton, EURO6 (200); World Bank, Inflation (annual %), 2024; True Price, Monestisation factors for true pricing (2023); European Central Bank, Eurosystem, US dollar (USD), 2024"
"Swiss sugar default";"Europe";"Sugarbeet";"none";"Transport, Field to Storage";"Environment";"Fine particulate matter formation";"kg PM10 eq";0;0;"Sugar";"Swiss sugar";"Sugar";"2021";"conventional";5.56;"country-specific";"Europe";"Rolex Centre";"False";"none";0;0;0.026;0;0;"USD2023/kg";"Road; transport, freight, lorry 16-32 metric ton, EURO6 (200); World Bank, Inflation (annual %), 2024; No factor available; European Central Bank, Eurosystem, US dollar (USD), 2024"
"Swiss sugar default";"Europe";"Sugarbeet";"none";"Transport, Field to Storage";"Environment";"Photochemical oxidant formation";"kg NMVOC";0;0;"Sugar";"Swiss sugar";"Sugar";"2021";"conventional";5.56;"country-specific";"Europe";"Rolex Centre";"False";"none";0;0;0.026;0;0;"USD2023/kg";"Road; transport, freight, lorry 16-32 metric ton, EURO6 (200); World Bank, Inflation (annual %), 2024; True Price, Monestisation factors for true pricing (2023); European Central Bank, Eurosystem, US dollar (USD), 2024"
